epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,12268.5,0.98755,0.47654,1.12464,0.96969,0.97431,0.97631,0.68496,1.05277,0.42039,1.1987,0.0002378,0.0002378,0.0002378
91,12414.2,0.97422,0.42928,1.1267,0.96869,0.97831,0.9785,0.68314,1.04694,0.41624,1.20764,0.000218,0.000218,0.000218
92,12555.2,0.95074,0.41628,1.11671,0.97451,0.98221,0.98475,0.6996,1.04179,0.41285,1.19491,0.0001982,0.0001982,0.0001982
93,12677.4,0.93666,0.41106,1.10923,0.97771,0.98221,0.98333,0.70418,1.02672,0.41258,1.19047,0.0001784,0.0001784,0.0001784
94,12810.1,0.93632,0.41581,1.11547,0.97434,0.97562,0.98072,0.70504,1.03158,0.4091,1.19511,0.0001586,0.0001586,0.0001586
95,12944.3,0.93037,0.4066,1.10251,0.97735,0.97826,0.98187,0.70596,1.01063,0.39938,1.1769,0.0001388,0.0001388,0.0001388
96,13077.6,0.90877,0.39722,1.09076,0.97745,0.97826,0.9824,0.70545,1.01772,0.4026,1.18669,0.000119,0.000119,0.000119
97,13215,0.91631,0.40536,1.10253,0.97599,0.98221,0.98529,0.71141,1.01042,0.40047,1.1771,9.92e-05,9.92e-05,9.92e-05
98,13349.9,0.9069,0.39604,1.09715,0.9784,0.98465,0.98396,0.71237,1.00022,0.40107,1.17485,7.94e-05,7.94e-05,7.94e-05
99,13485.5,0.8973,0.39479,1.09431,0.97637,0.97983,0.98231,0.71197,1.0073,0.39855,1.17916,5.96e-05,5.96e-05,5.96e-05
100,13621.2,0.89189,0.38891,1.08254,0.98182,0.98419,0.98525,0.71229,1.00697,0.39617,1.17911,3.98e-05,3.98e-05,3.98e-05
